Ticker,Trailing Return 20D,Trailing Return 60D,Volatility 20D,Volatility 60D,Downside Volatility 60D,Max Drawdown 120D,Sharpe 60D,Nonzero Volume Rate,Median Dollar Volume,Prediction Date,Current Close,Predicted Return,Predicted Price,Predicted Return Score,Momentum Score,Sharpe Score,Liquidity Score,Volatility Risk,Downside Risk,Drawdown Risk,Liquidity Risk,Profitability Score,Risk Score,Risk Adjusted Score,Risk Flag
GMD,-0.07735849056603772,0.05844155844155852,0.025501415690546578,0.020127719505454267,0.01431580261470266,-0.2109777015437393,0.9047787431226987,1.0,28348103600.0,2023-02-28,48900.0,-0.007897536270320415,48513.81047638133,0.60824842645991,0.3150108246022821,0.507024168610912,0.07416517244991457,0.2592451354178169,0.30749357390106885,0.19033775755862997,0.9258348275500854,0.4612858490247039,0.3231517917112226,0.2673947739979703,Keep
VNM,-0.02075226977950717,-0.05933069198375318,0.011802165941793763,0.013667790128246253,0.007154346392245299,-0.10543207511017438,-1.0766976896058387,1.0,126605117076.0,2023-02-28,75500.0,-0.023409012705087662,73732.61954076588,0.3076604440227892,0.438373206228841,0.18060478642798855,0.33124057995950196,0.11321800579629887,0.08315666751016292,0.0,0.668759420040498,0.3172855166490133,0.1314492442858033,0.2384159700775313,Keep
IMP,-0.13043478260869568,-0.05660377358490565,0.014444044112492683,0.01854759271668665,0.012496513872449055,-0.27472527472527475,-0.6862689683403358,0.9916666666666667,192156100.0,2023-02-28,50000.0,-0.0013143820688128471,49934.28089655936,0.735819586292788,0.1993412444163696,0.2449222316809012,0.0004991671306196621,0.22352626514410986,0.25050326416641966,0.30529818310326895,0.9995008328693803,0.42998848798508926,0.3296598011131196,0.2321926073172175,Keep
PVD,0.00952380952380949,0.4825174825174825,0.03054309530302902,0.028419747643490024,0.01608988414703874,-0.4527896995708155,3.897309349821876,1.0,121859600500.0,2023-02-28,21200.0,-0.020368315279483795,20768.191716074944,0.3665843709750547,0.5043541036863239,1.0,0.31882461529234174,0.4466869783596908,0.3630677407027126,0.6264141257652871,0.6811753847076583,0.5229339543895898,0.4899818345487932,0.22894485366031386,Keep
TNA,-0.04088050314465408,-0.0854572713643178,0.009834905987042548,0.016803224954884552,0.010713044168079774,-0.46261682242990654,-1.2751101554429702,1.0,659241500.0,2023-02-28,6100.0,-0.0019527794793248177,6088.088045176119,0.7234484499650581,0.3945075891401528,0.14791922254935935,0.0017212292033296993,0.1840947168428242,0.19463500725165217,0.6441360588425417,0.9982787707966703,0.4539346671995192,0.38368554486078654,0.22372334028304727,Keep
REE,-0.07768905333895604,-0.050978416057781084,0.015570443231573914,0.0179532018017569,0.00982293424803168,-0.2607126058325494,-0.6308767421906747,1.0,29774080629.5,2023-02-28,67800.0,-0.010189658962190151,67109.14112236351,0.5638306988280525,0.3142904265545469,0.2540472941539436,0.07789603717895058,0.21009001931044208,0.16675178076689587,0.2800281642064487,0.9221039628210494,0.39089548365994414,0.28577447832244063,0.21943079666647977,Keep
STB,-0.12361623616236161,0.20558375634517767,0.027824565017662846,0.032397615844770085,0.018403845412138072,-0.3987854251012146,1.781258734804953,1.0,382212232450.0,2023-02-28,23750.0,-0.01906026154756546,23297.31878824532,0.3919323920902722,0.214200956249512,0.6514114813515685,1.0,0.5366069514007419,0.43555396355958376,0.5290244673923303,0.0,0.46020211177331416,0.45073473890621735,0.18976126842958374,Keep
MHC,-0.07444168734491319,-0.10765550239234445,0.02170608322510781,0.02279169134117268,0.018347695838778467,-0.46906474820143884,-1.1415766535782794,1.0,179347500.0,2023-02-28,3730.0,0.00393358338624239,3744.672266030684,0.8375168911669407,0.32136743677483615,0.16991692207252407,0.00046565526263039555,0.31946439446034486,0.43379504453649986,0.6557640511500246,0.9995343447373696,0.4912544101596002,0.5058454986833137,0.18774711094961194,Keep
KDC,-0.1035598705501618,-0.09918699186991875,0.01514599815624595,0.01218026478208653,0.006678996669914215,-0.17910447761194026,-2.173030038352474,1.0,55632305800.0,2023-02-28,55400.0,-0.01954062655568123,54317.44928881526,0.3826236748169589,0.2579099513796501,0.0,0.14555038100657627,0.07959239724005775,0.0682660526897961,0.1328585594683015,0.8544496189934238,0.25121317961320166,0.16699675660737678,0.15101512564877562,Keep
VTB,-0.19594594594594594,-0.004184100418409997,0.04757431977029786,0.033840662479814036,0.03377994541114755,-0.26543209876543206,0.23662495944838316,0.85,3615000.0,2023-02-28,11900.0,0.00866736751049757,12003.141673374921,0.9292501716955063,0.05657225153683221,0.3969555643783467,5.8763374220361916e-06,0.5692271157587203,0.9172195074077836,0.2885391535483341,0.999994123662578,0.5116973406565974,0.6465295434912286,0.12377961456186032,Keep
SAM,-0.08176100628930816,-0.08031496062992127,0.019582525484725003,0.02649826877588907,0.01845780826869772,-0.5517213577360316,-0.6282879739552786,1.0,6420116440.0,2023-02-28,5840.0,-0.0022595087066292763,5826.804469153285,0.7175045206442302,0.3054163875028839,0.2544737560154401,0.016793733652836602,0.4032518218308678,0.4372443823689099,0.8048244550514264,0.9832062663471633,0.45180525573399627,0.5718381927490496,0.10870234008456653,Keep
SMC,-0.04497607655502389,0.0979097909790978,0.03216121655268795,0.03635998326551525,0.02223919755489715,-0.6447236180904523,0.9632698271163028,1.0,2291283800.0,2023-02-28,9980.0,-0.00011547468602657318,9978.847562633455,0.7590525230693898,0.3855820738344243,0.5166597227790284,0.00599123420859952,0.6261765282754833,0.5556986670806597,0.9725418895098464,0.9940087657914005,0.5419002218164971,0.7284077339772187,0.10485558143016588,Exclude
ITA,-0.1697722567287785,0.18991097922848654,0.03049016149918076,0.041344609742719064,0.02305977374004296,-0.602760736196319,1.4359908879296102,1.0,9097152650.0,2023-02-28,4010.0,0.0037192576564848423,4024.914223202504,0.8333635960913162,0.11361277805351261,0.5945336323884676,0.02379781560340158,0.738854338542209,0.5814037076639414,0.8968673105593447,0.9762021843965984,0.524703320792504,0.7548571768684517,0.07178901467143306,Exclude
MCP,0.08934707903780059,-0.2610722610722611,0.050105610652969715,0.04203636056096276,0.026914495190430418,-0.6107692307692307,-1.5730893791157337,0.8083333333333333,7517500.0,2023-01-27,15850.0,-0.0003071371465921402,15845.131876226515,0.7553384064556283,0.6783135819846486,0.09883148550235704,1.608666991958572e-05,0.7544914114114362,0.7021551663500715,0.9113095849570239,0.9999839133300804,0.5292485841686583,0.8025443314712881,0.04772198528588545,Exclude
CII,-0.15635179153094458,-0.047794117647058876,0.031605129886161695,0.0350161627017963,0.022564845336937683,-0.5464135021097046,-0.0950102045446343,1.0,61976865000.0,2023-02-28,12950.0,-0.006636492908000946,12864.057416841388,0.6326854606545224,0.14286010328274049,0.3423235013607373,0.1621500117515825,0.5957993758040331,0.5658997789392985,0.7952524304067486,0.8378499882484175,0.4051031845625259,0.6608978216397301,0.008564491578687883,Keep
HAS,-0.007507507507507505,-0.301858893113646,0.048226119161272084,0.04903472322050067,0.03642252831607364,-0.4735936693617754,-1.545595426113798,0.725,1369000.0,2023-02-27,6610.0,0.005557926371693611,6646.737893316895,0.8689940998540711,0.46723762069157543,0.10336071381132057,0.0,0.9126898608911459,1.0,0.663931369180591,1.0,0.52852889286949,0.8854242936070488,-0.0027256832947392118,Exclude
HBC,-0.22190476190476194,-0.0342789598108747,0.03405928111119448,0.04093413556007736,0.02243990601488643,-0.6599496221662469,0.09390632239471264,1.0,29534580765.0,2023-02-28,8170.0,-0.002466096542775631,8149.851991245523,0.7135011737594619,0.0,0.3734447476138506,0.07726942007461667,0.7295755425717162,0.5619859798284891,1.0,0.9227305799253833,0.4034914197219896,0.7662202918411858,-0.05624075538272183,Exclude
GIL,-0.09352517985611508,-0.2588235294117647,0.03566662689419972,0.04271625285151827,0.025933090846051835,-0.6472721643556911,-1.5147024382640186,1.0,17828163000.0,2023-02-28,18900.0,-0.0014416081830859184,18872.753605339676,0.7333541445817114,0.27977863163604394,0.10844988360468702,0.04664125409489326,0.7698604214801702,0.671412087331299,0.9771378599687959,0.9533587459051067,0.4263081251012079,0.8104951133001588,-0.05998894287888734,Exclude
SCD,-0.10471204188481675,-0.14500000000000002,0.05565052413337971,0.05289713792398255,0.03239615560431416,-0.36341463414634145,-0.3655750562910735,0.75,9325000.0,2023-02-28,17100.0,-0.03928545489907265,16428.218721225858,0.0,0.2553990153392299,0.2977518827995861,2.0815734875209235e-05,1.0,0.8738714627200579,0.46523786380754517,0.9999791842651248,0.12340221196821222,0.8284688231944161,-0.3736790819484374,Exclude
